Title,Location,Time,Start
Pee Wee Paddler I (3-5 yrs.)            ,South Run RECenter                      ,9:05am Sun                                                                                           ,5/6/2018
Pee Wee Paddler I (3-5 yrs.)            ,South Run RECenter                      ,11:05am Sun                                                                                          ,5/6/2018
Pee Wee Paddler I (3-5 yrs.)            ,Oak Marr RECenter                       ,10:40am Sun                                                                                          ,5/6/2018
Pee Wee Paddler I (3-5 yrs.)            ,Oak Marr RECenter                       ,10:50am Sun                                                                                          ,5/6/2018
Pee Wee Paddler I (3-5 yrs.)            ,Oak Marr RECenter                       ,11:55am Sun                                                                                          ,5/6/2018
Pee Wee Paddler I (3-5 yrs.)            ,Oak Marr RECenter                       ,1:10pm Sun                                                                                           ,5/6/2018
Preschooler and Me Swim (3-5 yrs)       ,Lee District RECenter                   ,9am Sun                                                                                              ,5/6/2018
Preschooler and Me Swim (3-5 yrs)       ,Lee District RECenter                   ,10:45am Sun                                                                                          ,5/6/2018
Preschooler and Me Swim (3-5 yrs)       ,Spring Hill RECenter                    ,11am Sun                                                                                             ,5/6/2018
Preschooler and Me Swim (3-5 yrs)       ,Providence RECenter                     ,12:25pm Sun                                                                                          ,5/6/2018
Toddler & Me Swim (19 mos-2 yrs 11 mos) ,Mount Vernon RECenter                   ,9:35am Sun                                                                                           ,5/6/2018
Toddler & Me Swim (19 mos-2 yrs 11 mos) ,Mount Vernon RECenter                   ,10:45am Sun                                                                                          ,5/6/2018
Preschooler and Me Swim (3-5 yrs)       ,Oak Marr RECenter                       ,11:20am Sun                                                                                          ,5/6/2018
Toddler & Me Swim (19 mos-2 yrs 11 mos) ,Lee District RECenter                   ,11:25am Sun                                                                                          ,5/6/2018
Pee Wee Paddler IV (4-6 yrs)            ,Audrey Moore RECenter                   ,10:35am Sun                                                                                          ,5/6/2018
Pee Wee Paddler IV (4-6 yrs)            ,Spring Hill RECenter                    ,10am Sun                                                                                             ,5/6/2018
Pee Wee Paddler IV (4-6 yrs)            ,Spring Hill RECenter                    ,10:40am Sun                                                                                          ,5/6/2018
Pee Wee Paddler IV (4-6 yrs)            ,Spring Hill RECenter                    ,11:45am Sun                                                                                          ,5/6/2018
Pee Wee Paddler IV (4-6 yrs)            ,Oak Marr RECenter                       ,10:50am Sun                                                                                          ,5/6/2018
Pee Wee Paddler IV (4-6 yrs)            ,Oak Marr RECenter                       ,11:55am Sun                                                                                          ,5/6/2018
Swimming I for Children (6-12 yrs)      ,Mount Vernon RECenter                   ,9:50am Sun                                                                                           ,5/6/2018
Swimming I for Children (6-12 yrs)      ,Audrey Moore RECenter                   ,11:10am Sun                                                                                          ,5/6/2018
Swimming I for Children (6-12 yrs)      ,Audrey Moore RECenter                   ,5pm Sun                                                                                              ,5/6/2018
Swimming II for Children (6-12 yrs.)    ,Oak Marr RECenter                       ,10am Sun                                                                                             ,5/6/2018
Swimming II for Children (6-12 yrs.)    ,Oak Marr RECenter                       ,11:30am Sun                                                                                          ,5/6/2018
Swimming II for Children (6-12 yrs.)    ,Oak Marr RECenter                       ,12:20pm Sun                                                                                          ,5/6/2018
Swimming I for Children (6-12 yrs)      ,Lee District RECenter                   ,9am Sun                                                                                              ,5/6/2018
Swimming I for Children (6-12 yrs)      ,Lee District RECenter                   ,12pm Sun                                                                                             ,5/6/2018
Swimming I for Children (6-12 yrs)      ,Spring Hill RECenter                    ,9am Sun                                                                                              ,5/6/2018
Swimming I for Children (6-12 yrs)      ,Spring Hill RECenter                    ,12:10pm Sun                                                                                          ,5/6/2018
Swimming I for Children (6-12 yrs)      ,South Run RECenter                      ,9:20am Sun                                                                                           ,5/6/2018
Swimming I for Children (6-12 yrs)      ,Providence RECenter                     ,10:10am Sun                                                                                          ,5/6/2018
Swimming I for Children (6-12 yrs)      ,Providence RECenter                     ,11am Sun                                                                                             ,5/6/2018
Swimming I for Children (6-12 yrs)      ,Oak Marr RECenter                       ,10am Sun                                                                                             ,5/6/2018
Swimming I for Children (6-12 yrs)      ,Oak Marr RECenter                       ,11:30am Sun                                                                                          ,5/6/2018
Swimming I for Children (6-12 yrs)      ,Oak Marr RECenter                       ,12:20pm Sun                                                                                          ,5/6/2018
Pee Wee Paddler V (4-6 yrs.)            ,Mount Vernon RECenter                   ,9am Sun                                                                                              ,5/6/2018
Pee Wee Paddler V (4-6 yrs.)            ,Audrey Moore RECenter                   ,10:35am Sun                                                                                          ,5/6/2018
Pee Wee Paddler VI (4-7 yrs)            ,Oak Marr RECenter                       ,1:20pm Sun                                                                                           ,5/6/2018
Pee Wee Paddler VI (4-7 yrs)            ,Lee District RECenter                   ,12:05pm Sun                                                                                          ,5/6/2018
Pee Wee Paddler VI (4-7 yrs)            ,Spring Hill RECenter                    ,11:10am Sun                                                                                          ,5/6/2018
Pee Wee Paddler IV (4-6 yrs)            ,Lee District RECenter                   ,10:45am Sun                                                                                          ,5/6/2018
Pee Wee Paddler V (4-6 yrs.)            ,Lee District RECenter                   ,11:30am Sun                                                                                          ,5/6/2018
Pee Wee Paddler V (4-6 yrs.)            ,Spring Hill RECenter                    ,10:35am Sun                                                                                          ,5/6/2018
Pee Wee Paddler V (4-6 yrs.)            ,Providence RECenter                     ,12:25pm Sun                                                                                          ,5/6/2018
Pee Wee Paddler IV (4-6 yrs)            ,Mount Vernon RECenter                   ,11:25am Sun                                                                                          ,5/6/2018
Pee Wee Paddler V (4-6 yrs.)            ,Oak Marr RECenter                       ,10:50am Sun                                                                                          ,5/6/2018
Pee Wee Paddler V (4-6 yrs.)            ,Oak Marr RECenter                       ,1:10pm Sun                                                                                           ,5/6/2018
Stroke Mechanics I (6-12 yrs.)          ,Lee District RECenter                   ,9am Sun                                                                                              ,5/6/2018
Stroke Mechanics I (6-12 yrs.)          ,Spring Hill RECenter                    ,10am Sun                                                                                             ,5/6/2018
Stroke Mechanics I (6-12 yrs.)          ,Audrey Moore RECenter                   ,11:10am Sun                                                                                          ,5/6/2018
Butterfly & Breaststroke Clinic II 7-18 ,Oak Marr RECenter                       ,4:30pm Sun                                                                                           ,5/6/2018
Butterfly & Breaststroke Clinic I 6-14yr,Spring Hill RECenter                    ,1:50pm Sun                                                                                           ,5/6/2018
Butterfly & Breaststroke Clinic I 6-14yr,Oak Marr RECenter                       ,4:05pm Sun                                                                                           ,5/6/2018
Swim Team Prep Class (13-18 yrs)        ,Oak Marr RECenter                       ,9am Sun                                                                                              ,5/6/2018
IM and Relay Clinic (11-18 yrs)         ,Oak Marr RECenter                       ,4:55pm Sun                                                                                           ,5/6/2018
Stroke Mechanics I (6-12 yrs.)          ,Providence RECenter                     ,9am Sun                                                                                              ,5/6/2018
Stroke Mechanics I (6-12 yrs.)          ,Oak Marr RECenter                       ,11:05am Sun                                                                                          ,5/6/2018
Freestyle & Backstroke Clinic II 7-18 yr,Oak Marr RECenter                       ,3:30pm Sun                                                                                           ,5/6/2018
Freestyle & Backstroke Clinic II 7-18 yr,Spring Hill RECenter                    ,1:50pm Sun                                                                                           ,5/6/2018
Swimming IV for Children (6-12 yrs.)    ,Oak Marr RECenter                       ,12:05pm Sun                                                                                          ,5/6/2018
Swimming IV for Children (6-12 yrs.)    ,Oak Marr RECenter                       ,12:30pm Sun                                                                                          ,5/6/2018
Swimming IV for Children (6-12 yrs.)    ,Providence RECenter                     ,9am Sun                                                                                              ,5/6/2018
Swimming IV for Children (6-12 yrs.)    ,Providence RECenter                     ,11:50am Sun                                                                                          ,5/6/2018
Swimming IV for Children (6-12 yrs.)    ,South Run RECenter                      ,11am Sun                                                                                             ,5/6/2018
Swimming IV for Children (6-12 yrs.)    ,South Run RECenter                      ,11:25am Sun                                                                                          ,5/6/2018
Swimming IV for Children (6-12 yrs.)    ,Spring Hill RECenter                    ,10am Sun                                                                                             ,5/6/2018
Swimming IV for Children (6-12 yrs.)    ,Spring Hill RECenter                    ,11:50am Sun                                                                                          ,5/6/2018
Celebrate National Salamander Day       ,Hidden Oaks Nature Center               ,1pm Sun                                                                                              ,5/6/2018
We 'Heart' Our Park Campfire            ,Ellanor C. Lawrence Park                ,5:30pm Mon                                                                                           ,5/7/2018
Little Acorns- Spring                   ,Hidden Oaks Nature Center               ,9:45am Mon                                                                                           ,5/7/2018
Little Acorns- Spring                   ,Hidden Oaks Nature Center               ,11am Mon                                                                                             ,5/7/2018
Nature Quest-Spring                     ,Hidden Pond Nature Center               ,11am Mon                                                                                             ,5/7/2018
Little Hands on the Farm-(2-3yrs)       ,Frying Pan Park                         ,9:45am Mon                                                                                           ,5/7/2018
Little Hands on the Farm (3-5yrs)       ,Frying Pan Park                         ,11am Mon                                                                                             ,5/7/2018
Garden Sprouts:  Nature's Playgroup     ,Green Spring Gardens Park               ,10am Mon                                                                                             ,5/7/2018
Squash Beginning I (13-Adult)           ,Audrey Moore RECenter                   ,8pm Mon                                                                                              ,5/7/2018
Squash Beginning I (13-Adult)           ,Audrey Moore RECenter                   ,9pm Mon                                                                                              ,5/7/2018
Swimming IV for Children (6-12 yrs.)    ,Spring Hill RECenter                    ,6:40pm Mon                                                                                           ,5/7/2018
Swimming IV for Children (6-12 yrs.)    ,Providence RECenter                     ,7:20pm Mon                                                                                           ,5/7/2018
Pee Wee Paddler IV (4-6 yrs)            ,Oak Marr RECenter                       ,1:10pm Sun                                                                                           ,5/6/2018
Pee Wee Paddler IV (4-6 yrs)            ,Providence RECenter                     ,11:50am Sun                                                                                          ,5/6/2018
Pee Wee Paddler III (4-6 yrs.)          ,Mount Vernon RECenter                   ,9am Sun                                                                                              ,5/6/2018
Pee Wee Paddler III (4-6 yrs.)          ,Mount Vernon RECenter                   ,10:10am Sun                                                                                          ,5/6/2018
Pee Wee Paddler III (4-6 yrs.)          ,Audrey Moore RECenter                   ,10am Sun                                                                                             ,5/6/2018
Pee Wee Paddler III (4-6 yrs.)          ,Audrey Moore RECenter                   ,10:35am Sun                                                                                          ,5/6/2018
Pee Wee Paddler III (4-6 yrs.)          ,Audrey Moore RECenter                   ,5pm Sun                                                                                              ,5/6/2018
Pee Wee Paddler III (4-6 yrs.)          ,Lee District RECenter                   ,9:35am Sun                                                                                           ,5/6/2018
Pee Wee Paddler III (4-6 yrs.)          ,Lee District RECenter                   ,12pm Sun                                                                                             ,5/6/2018
Pee Wee Paddler III (4-6 yrs.)          ,Providence RECenter                     ,9am Sun                                                                                              ,5/6/2018
Pee Wee Paddler III (4-6 yrs.)          ,Providence RECenter                     ,11:20am Sun                                                                                          ,5/6/2018
Pee Wee Paddler III (4-6 yrs.)          ,Providence RECenter                     ,12:25pm Sun                                                                                          ,5/6/2018
Pee Wee Paddler III (4-6 yrs.)          ,Spring Hill RECenter                    ,9:35am Sun                                                                                           ,5/6/2018
Pee Wee Paddler III (4-6 yrs.)          ,Spring Hill RECenter                    ,10:45am Sun                                                                                          ,5/6/2018
Pee Wee Paddler III (4-6 yrs.)          ,Spring Hill RECenter                    ,11:55am Sun                                                                                          ,5/6/2018
BGS-Bugs Naturalist                     ,Ellanor C. Lawrence Park                ,5:30pm Sun                                                                                           ,5/6/2018
JGS-Geocacher                           ,Burke Lake Park                         ,4pm Sun                                                                                              ,5/6/2018
Fishing Merit Badge                     ,Burke Lake Park                         ,1pm Sun                                                                                              ,5/6/2018
BGS-Potter                              ,Sully                                   ,11am Sun                                                                                             ,5/6/2018
Swimming III for Children (6-12 yrs.)   ,Lee District RECenter                   ,10:40am Sun                                                                                          ,5/6/2018
Swimming IV for Children (6-12 yrs.)    ,Lee District RECenter                   ,7:30pm Mon                                                                                           ,5/7/2018
Swimming III for Children (6-12 yrs.)   ,Mount Vernon RECenter                   ,5:50pm Mon                                                                                           ,5/7/2018
Swimming IV for Children (6-12 yrs.)    ,Audrey Moore RECenter                   ,6pm Mon                                                                                              ,5/7/2018
Swimming V for Children (6-12 yrs.)     ,Spring Hill RECenter                    ,6pm Mon                                                                                              ,5/7/2018
Swimming V for Children (6-12 yrs.)     ,Lee District RECenter                   ,7:30pm Mon                                                                                           ,5/7/2018
Swimming VI for Children (6-12 yrs)     ,Spring Hill RECenter                    ,7pm Mon                                                                                              ,5/7/2018
Swimming I - Teens & Adults (13-Adult)  ,Oak Marr RECenter                       ,1pm Mon                                                                                              ,5/7/2018
Swimming VI for Children (6-12 yrs)     ,Lee District RECenter                   ,7:30pm Mon                                                                                           ,5/7/2018
Swimming II - Teens & Adults (13-Adult) ,Audrey Moore RECenter                   ,7:40pm Mon                                                                                           ,5/7/2018
Swimming II - Teens & Adults (13-Adult) ,Lee District RECenter                   ,8:20pm Mon                                                                                           ,5/7/2018
Swimming II - Teens & Adults (13-Adult) ,Oak Marr RECenter                       ,2pm Mon                                                                                              ,5/7/2018
Swimming I - Teens & Adults (13-Adult)  ,Audrey Moore RECenter                   ,7:40pm Mon                                                                                           ,5/7/2018
Swimming III - Teens & Adults (13-Adult),Spring Hill RECenter                    ,8pm Mon                                                                                              ,5/7/2018
Freestyle & Backstroke Clinic II 7-18 yr,Spring Hill RECenter                    ,8pm Mon                                                                                              ,5/7/2018
Stroke Mechanics I (6-12 yrs.)          ,Spring Hill RECenter                    ,6:05pm Mon                                                                                           ,5/7/2018
Pee Wee Paddler V (4-6 yrs.)            ,Oak Marr RECenter                       ,12:55pm Mon                                                                                          ,5/7/2018
Pee Wee Paddler IV (4-6 yrs)            ,Mount Vernon RECenter                   ,6:10pm Mon                                                                                           ,5/7/2018
Pee Wee Paddler V (4-6 yrs.)            ,Spring Hill RECenter                    ,5:25pm Mon                                                                                           ,5/7/2018
Racquetball I (13-Adult)                ,Audrey Moore RECenter                   ,6pm Mon                                                                                              ,5/7/2018
Racquetball I (13-Adult)                ,Audrey Moore RECenter                   ,7pm Mon                                                                                              ,5/7/2018
Swimming VI for Children (6-12 yrs)     ,Spring Hill RECenter                    ,9am Sun                                                                                              ,5/6/2018
Swimming VI for Children (6-12 yrs)     ,Spring Hill RECenter                    ,10:50am Sun                                                                                          ,5/6/2018
Swimming V for Children (6-12 yrs.)     ,Mount Vernon RECenter                   ,9am Sun                                                                                              ,5/6/2018
Swimming V for Children (6-12 yrs.)     ,Providence RECenter                     ,9:50am Sun                                                                                           ,5/6/2018
Swimming V for Children (6-12 yrs.)     ,Lee District RECenter                   ,9am Sun                                                                                              ,5/6/2018
Swimming V for Children (6-12 yrs.)     ,Lee District RECenter                   ,10:10am Sun                                                                                          ,5/6/2018
Swimming V for Children (6-12 yrs.)     ,Audrey Moore RECenter                   ,12pm Sun                                                                                             ,5/6/2018
Swimming V for Children (6-12 yrs.)     ,Audrey Moore RECenter                   ,3:55pm Sun                                                                                           ,5/6/2018
Swimming V for Children (6-12 yrs.)     ,South Run RECenter                      ,11:50am Sun                                                                                          ,5/6/2018
Swimming IV for Children (6-12 yrs.)    ,Mount Vernon RECenter                   ,11:35am Sun                                                                                          ,5/6/2018
Swimming V for Children (6-12 yrs.)     ,Spring Hill RECenter                    ,9am Sun                                                                                              ,5/6/2018
Swimming V for Children (6-12 yrs.)     ,Spring Hill RECenter                    ,10:50am Sun                                                                                          ,5/6/2018
Swimming IV for Children (6-12 yrs.)    ,Audrey Moore RECenter                   ,12pm Sun                                                                                             ,5/6/2018
Swimming IV for Children (6-12 yrs.)    ,Audrey Moore RECenter                   ,3pm Sun                                                                                              ,5/6/2018
Swimming III for Children (6-12 yrs.)   ,Mount Vernon RECenter                   ,9am Sun                                                                                              ,5/6/2018
Swimming III for Children (6-12 yrs.)   ,Mount Vernon RECenter                   ,10am Sun                                                                                             ,5/6/2018
Swimming IV for Children (6-12 yrs.)    ,Lee District RECenter                   ,11:10am Sun                                                                                          ,5/6/2018
Swimming V for Children (6-12 yrs.)     ,Oak Marr RECenter                       ,11:05am Sun                                                                                          ,5/6/2018
Swimming V for Children (6-12 yrs.)     ,Oak Marr RECenter                       ,11:30am Sun                                                                                          ,5/6/2018
Swimming IV for Children (6-12 yrs.)    ,Oak Marr RECenter                       ,10am Sun                                                                                             ,5/6/2018
Freestyle & Backstroke Clinic I 6-14 yrs,Oak Marr RECenter                       ,3:15pm Sun                                                                                           ,5/6/2018
Freestyle & Backstroke Clinic I 6-14 yrs,South Run RECenter                      ,4:10pm Sun                                                                                           ,5/6/2018
Advanced Lap Swim (13-Adult)            ,Oak Marr RECenter                       ,9am Sun                                                                                              ,5/6/2018
Lap Swim (13-Adult)                     ,South Run RECenter                      ,5pm Sun                                                                                              ,5/6/2018
Stroke Mechanics (13-Adult)             ,Audrey Moore RECenter                   ,10:10am Sun                                                                                          ,5/6/2018
Swimming IV - Teens & Adults (13-Adult) ,Oak Marr RECenter                       ,9am Sun                                                                                              ,5/6/2018
Lap Swim (13-Adult)                     ,Oak Marr RECenter                       ,10am Sun                                                                                             ,5/6/2018
Swimming II - Teens & Adults (13-Adult) ,Oak Marr RECenter                       ,9am Sun                                                                                              ,5/6/2018
Swimming I - Teens & Adults (13-Adult)  ,Spring Hill RECenter                    ,12:20pm Sun                                                                                          ,5/6/2018
Swimming III - Teens & Adults (13-Adult),Oak Marr RECenter                       ,9am Sun                                                                                              ,5/6/2018
Swimming II - Teens & Adults (13-Adult) ,Audrey Moore RECenter                   ,11:45am Sun                                                                                          ,5/6/2018
Swimming II - Teens & Adults (13-Adult) ,Spring Hill RECenter                    ,9am Sun                                                                                              ,5/6/2018
Swimming VI for Children (6-12 yrs)     ,Mount Vernon RECenter                   ,10:50am Sun                                                                                          ,5/6/2018
Swimming VI for Children (6-12 yrs)     ,Providence RECenter                     ,10:50am Sun                                                                                          ,5/6/2018
Swimming I - Teens & Adults (13-Adult)  ,Oak Marr RECenter                       ,9am Sun                                                                                              ,5/6/2018
Swimming VI for Children (6-12 yrs)     ,Oak Marr RECenter                       ,10am Sun                                                                                             ,5/6/2018
Swimming VI for Children (6-12 yrs)     ,Oak Marr RECenter                       ,1pm Sun                                                                                              ,5/6/2018
Swimming VI for Children (6-12 yrs)     ,South Run RECenter                      ,9am Sun                                                                                              ,5/6/2018
Swimming VI for Children (6-12 yrs)     ,Audrey Moore RECenter                   ,12pm Sun                                                                                             ,5/6/2018
Swimming VI for Children (6-12 yrs)     ,Audrey Moore RECenter                   ,5pm Sun                                                                                              ,5/6/2018
Racquetball II (13-Adult)               ,Audrey Moore RECenter                   ,8pm Mon                                                                                              ,5/7/2018
Swimming I for Children (6-12 yrs)      ,Providence RECenter                     ,6:25pm Mon                                                                                           ,5/7/2018
Swimming I for Children (6-12 yrs)      ,Spring Hill RECenter                    ,5pm Mon                                                                                              ,5/7/2018
Swimming I for Children (6-12 yrs)      ,Lee District RECenter                   ,6:40pm Mon                                                                                           ,5/7/2018
Swimming I for Children (6-12 yrs)      ,Cub Run RECenter                        ,3:50pm Mon                                                                                           ,5/7/2018
Swimming I for Children (6-12 yrs)      ,Audrey Moore RECenter                   ,6:50pm Mon                                                                                           ,5/7/2018
Swimming I for Children (6-12 yrs)      ,Mount Vernon RECenter                   ,5pm Mon                                                                                              ,5/7/2018
Swimming II for Children (6-12 yrs.)    ,Providence RECenter                     ,6:25pm Mon                                                                                           ,5/7/2018
Swimming II for Children (6-12 yrs.)    ,Audrey Moore RECenter                   ,6:50pm Mon                                                                                           ,5/7/2018
Swimming II for Children (6-12 yrs.)    ,Cub Run RECenter                        ,4:40pm Mon                                                                                           ,5/7/2018
Swimming II for Children (6-12 yrs.)    ,Lee District RECenter                   ,6:40pm Mon                                                                                           ,5/7/2018
Swimming II for Children (6-12 yrs.)    ,Mount Vernon RECenter                   ,6:40pm Mon                                                                                           ,5/7/2018
Swimming III for Children (6-12 yrs.)   ,Providence RECenter                     ,7:20pm Mon                                                                                           ,5/7/2018
Swimming III for Children (6-12 yrs.)   ,Spring Hill RECenter                    ,5:50pm Mon                                                                                           ,5/7/2018
Swimming III for Children (6-12 yrs.)   ,Audrey Moore RECenter                   ,6pm Mon                                                                                              ,5/7/2018
Swimming III for Children (6-12 yrs.)   ,Lee District RECenter                   ,6:40pm Mon                                                                                           ,5/7/2018
Pee Wee Paddler III (4-6 yrs.)          ,Spring Hill RECenter                    ,2:40pm Mon                                                                                           ,5/7/2018
Pee Wee Paddler III (4-6 yrs.)          ,Spring Hill RECenter                    ,5:10pm Mon                                                                                           ,5/7/2018
Pee Wee Paddler III (4-6 yrs.)          ,Providence RECenter                     ,4:05pm Mon                                                                                           ,5/7/2018
Pee Wee Paddler III (4-6 yrs.)          ,Providence RECenter                     ,5:50pm Mon                                                                                           ,5/7/2018
Pee Wee Paddler III (4-6 yrs.)          ,Lee District RECenter                   ,5:30pm Mon                                                                                           ,5/7/2018
Pee Wee Paddler III (4-6 yrs.)          ,Lee District RECenter                   ,6:05pm Mon                                                                                           ,5/7/2018
Pee Wee Paddler III (4-6 yrs.)          ,Audrey Moore RECenter                   ,6:40pm Mon                                                                                           ,5/7/2018
Pee Wee Paddler III (4-6 yrs.)          ,Mount Vernon RECenter                   ,5pm Mon                                                                                              ,5/7/2018
Pee Wee Paddler IV (4-6 yrs)            ,Providence RECenter                     ,4:40pm Mon                                                                                           ,5/7/2018
Pee Wee Paddler IV (4-6 yrs)            ,Oak Marr RECenter                       ,12:20pm Mon                                                                                          ,5/7/2018
Pee Wee Paddler IV (4-6 yrs)            ,Spring Hill RECenter                    ,4:25pm Mon                                                                                           ,5/7/2018
Pee Wee Paddler IV (4-6 yrs)            ,Audrey Moore RECenter                   ,6pm Mon                                                                                              ,5/7/2018
Preschooler and Me Swim (3-5 yrs)       ,Oak Marr RECenter                       ,3:35pm Mon                                                                                           ,5/7/2018
Pee Wee Paddler I (3-5 yrs.)            ,Oak Marr RECenter                       ,10:35am Mon                                                                                          ,5/7/2018
Pee Wee Paddler I (3-5 yrs.)            ,Oak Marr RECenter                       ,3pm Mon                                                                                              ,5/7/2018
Pee Wee Paddler I (3-5 yrs.)            ,South Run RECenter                      ,11:15am Mon                                                                                          ,5/7/2018
Pee Wee Paddler I (3-5 yrs.)            ,Spring Hill RECenter                    ,1:30pm Mon                                                                                           ,5/7/2018
Pee Wee Paddler I (3-5 yrs.)            ,Spring Hill RECenter                    ,4pm Mon                                                                                              ,5/7/2018
Pee Wee Paddler I (3-5 yrs.)            ,Spring Hill RECenter                    ,5:45pm Mon                                                                                           ,5/7/2018
Pee Wee Paddler I (3-5 yrs.)            ,Providence RECenter                     ,5:50pm Mon                                                                                           ,5/7/2018
Pee Wee Paddler I (3-5 yrs.)            ,Lee District RECenter                   ,5:30pm Mon                                                                                           ,5/7/2018
Pee Wee Paddler I (3-5 yrs.)            ,Lee District RECenter                   ,6:05pm Mon                                                                                           ,5/7/2018
Pee Wee Paddler I (3-5 yrs.)            ,Cub Run RECenter                        ,10:05am Mon                                                                                          ,5/7/2018
Pee Wee Paddler II (3-5 yrs.)           ,Oak Marr RECenter                       ,11:10am Mon                                                                                          ,5/7/2018
Pee Wee Paddler II (3-5 yrs.)           ,South Run RECenter                      ,10:05am Mon                                                                                          ,5/7/2018
Pee Wee Paddler II (3-5 yrs.)           ,Providence RECenter                     ,3:30pm Mon                                                                                           ,5/7/2018
Pee Wee Paddler I (3-5 yrs.)            ,Mount Vernon RECenter                   ,5:35pm Mon                                                                                           ,5/7/2018
Pee Wee Paddler II (3-5 yrs.)           ,Spring Hill RECenter                    ,2:05pm Mon                                                                                           ,5/7/2018
Pee Wee Paddler II (3-5 yrs.)           ,Spring Hill RECenter                    ,4:35pm Mon                                                                                           ,5/7/2018
Pee Wee Paddler II (3-5 yrs.)           ,Spring Hill RECenter                    ,6:20pm Mon                                                                                           ,5/7/2018
Pee Wee Paddler II (3-5 yrs.)           ,Cub Run RECenter                        ,10:40am Mon                                                                                          ,5/7/2018
Pee Wee Paddler II (3-5 yrs.)           ,Cub Run RECenter                        ,11:15am Mon                                                                                          ,5/7/2018
Pee Wee Paddler III (4-6 yrs.)          ,Oak Marr RECenter                       ,11:45am Mon                                                                                          ,5/7/2018
Pee Wee Paddler III (4-6 yrs.)          ,South Run RECenter                      ,10:40am Mon                                                                                          ,5/7/2018
Pee Wee Paddler II (3-5 yrs.)           ,Lee District RECenter                   ,5:30pm Mon                                                                                           ,5/7/2018
Pee Wee Paddler II (3-5 yrs.)           ,Lee District RECenter                   ,6:05pm Mon                                                                                           ,5/7/2018
Pee Wee Paddler II (3-5 yrs.)           ,Audrey Moore RECenter                   ,7:20pm Mon                                                                                           ,5/7/2018
Baby & Me Swim (6 mos.-18 mos.)         ,Providence RECenter                     ,10:30am Mon                                                                                          ,5/7/2018
Baby & Me Swim (6 mos.-18 mos.)         ,Providence RECenter                     ,11:40am Mon                                                                                          ,5/7/2018
Adapted Swimming 1 (6-12 yrs)           ,Cub Run RECenter                        ,7:10pm Mon                                                                                           ,5/7/2018
Preschoolers w/Disabilities (3-5 yrs)   ,Cub Run RECenter                        ,6:35pm Mon                                                                                           ,5/7/2018
Bloom Play Date Program (3-5 yrs)       ,Lee District RECenter                   ,11am Mon                                                                                             ,5/7/2018
Grow Play Date Program (3-5 yrs)        ,Lee District RECenter                   ,9:30am Mon                                                                                           ,5/7/2018
Stroke Mechanics III (9-15 yrs.)        ,Spring Hill RECenter                    ,7pm Mon                                                                                              ,5/7/2018
Stroke Mechanics IV (11-18 yrs.)        ,Providence RECenter                     ,7pm Mon                                                                                              ,5/7/2018
Stroke Mechanics II (6-14 yrs.)         ,Mount Vernon RECenter                   ,5pm Mon                                                                                              ,5/7/2018
Get Golf Ready II (13-Adult)            ,Burke Lake Golf Course                  ,7pm Mon                                                                                              ,5/7/2018
Get Golf Ready I (13-Adult)             ,Burke Lake Golf Course                  ,6pm Mon                                                                                              ,5/7/2018
Stroke Mechanics II (6-14 yrs.)         ,Providence RECenter                     ,6pm Mon                                                                                              ,5/7/2018
Toddler & Me Swim (19 mos-2 yrs 11 mos) ,South Run RECenter                      ,9:30am Mon                                                                                           ,5/7/2018
Toddler & Me Swim (19 mos-2 yrs 11 mos) ,Providence RECenter                     ,11:05am Mon                                                                                          ,5/7/2018
Toddler & Me Swim (19 mos-2 yrs 11 mos) ,Oak Marr RECenter                       ,10am Mon                                                                                             ,5/7/2018
Toddler & Me Swim (19 mos-2 yrs 11 mos) ,Cub Run RECenter                        ,10am Tue                                                                                             ,5/8/2018
Butterfly & Breaststroke Clinic I 6-14yr,Lee District RECenter                   ,5:40pm Tue                                                                                           ,5/8/2018
Ladies Get Golf Ready I (13-Adult)      ,Burke Lake Golf Course                  ,6pm Tue                                                                                              ,5/8/2018
Ladies Get Golf Ready II (13-Adult      ,Burke Lake Golf Course                  ,7pm Tue                                                                                              ,5/8/2018
